id,trigger,conditions,script,text,New Column,options,New Column 2,notes,Column
gaDataMissionTextBasicOrPirates,DialogOptionSelected,"$option == gaData_start
$gaData_variation == BASIC","$missionId = gaData
SetTextHighlights $gaData_dist $gaData_reward","""So this is an easy one, right? All you have to do is get to $gaData_planetName, in the $gaData_systemName system, which is,"" $heOrShe checks a different datapad, ""about $gaData_dist light-years away. We'll provide the exact coordinates of the $gaData_target you need to, um, access. Then once you're back in hypercomm range, send the encrypted contents back to the Academy and the finance office will pay you $gaData_reward credits.�","
","aseb_accept:Accept
aseb_decline:Decline",,,
gaDataMissionTextRemnants,DialogOptionSelected,"$option == gaData_start
$gaData_variation == REMNANTS","$missionId = gaData
SetTextHighlights $gaData_dist $gaData_reward","Academician $personLastName makes a series of small, odd noises as $heOrShe reads from $hisOrHer datapad. ""Ooh no. Oh. Hmm. Okay.""

$HeOrShe turns to you, closes $hisOrHer eyes to brace for a moment, then puts on an impressive smile before proceeding. ""So this won't be a problem right? I mean, we have the exact coordinates of the $gaData_target for you. On $gaData_planetName, in the $gaData_systemName system, which is $gaData_dist light-years away. You get in, you get out, and once you're in hypercomm range, just send the encrypted contents back to the Academy and the finance office will pay you $gaData_reward credits. No problem!""","
","gaData_remCont:""But?""",,,
gaDataMissionTextRemnants2,DialogOptionSelected,$option == gaData_remCont,,"A longish pause, which is unusual for Academician $personLastName, who has a way of filling uncomfortable gaps in conversation.

""But. We�re not supposed to talk about it. But. If you recall all those rumors around the First AI War... well, you can ask in the Persean Studies department maybe? But there is a, um, possibility, maybe, that you will encounter certain, um,"" $heOrShe looks down to check the exact phrasing, ""'autonomous weapon systems'. It says it might be quite dangerous, which is why this pays more than usual. I'm sure it's nothing, right? Ha-ha. You'll be fine?""","
","aseb_accept:Accept
aseb_decline:Decline",,,
gaDataMissionTextDeciv,DialogOptionSelected,"$option == gaData_start
$gaData_variation == DECIV","$missionId = gaData
SetTextHighlights $gaData_dist $gaData_marinesReq $gaData_reward","""Right. Uh. So once you get to $gaData_planetName in the $gaData_systemName system, about $gaData_dist light-years away, you�ll go to the exact coordinates of the $gaData_target. That's where things might be a little, um, complicated.""

$HeOrShe pauses and you watch the process of $himOrHer considering how to phrase $hisOrHer next words. ""There are reports of ah, a 'decivilized' population. Probably? They don't have weapons that can take on a spaceship but it says here they have,"" $heOrShe taps at another datapad, ""a lot of handheld weapons. And they're ... fairly hostile. Usually. So, you should definitely bring,"" yet another datapad, ""around $gaData_marinesReq or so marines. Just in case. I mean, hopefully no one gets shot right? Statistically speaking, um. The data suggests that only low casualties are a possibility?""

$HeOrShe looks a little ill at the thought, but recovers quickly, ""Once you�re back in hypercomms range, just send the encrypted contents back to the Academy and the finance office will pay you $gaData_reward credits. Easy!""","
","aseb_accept:Accept
aseb_decline:Decline",,,
gaDataMissionTextPulsar,DialogOptionSelected,"$option == gaData_start
$gaData_variation == PULSAR","$missionId = gaData
SetTextHighlights $gaData_dist $gaData_reward","""Yes, so you�ll need to go to $gaData_planetName in the $gaData_systemName system, which is $gaData_dist light-years away. We�ll provide the exact coordinates of the $gaData_target you need to, um, access. And oh, oh, this is really important,"" $heOrShe taps a key, switching the display to a stellar diagram that appears to be exploding in two arcs on opposite poles.

Academician $personLastName explains, ""$gaData_pulsarName is a pulsar, so you�ll have to be very, very careful. I�m so jealous! Rapidly spinning jets of high energy charged particles, oh, it�s a once-in-a-lifetime sight. I mean, that�s what I hear from the Astrometrics people,"" $heOrShe sighs. ""So, um, hopefully your shields are up to spec?""

$HeOrShe continues, ""Once you�re back in hypercomms range, send the encrypted contents back to the Academy and the finance office will pay you $gaData_reward credits.""","
","aseb_accept:Accept
aseb_decline:Decline",,,
gaDataPlanetInteraction,OpenInteractionDialog,"$gaData_targetPlanet score:1000
Call $global.gaData_ref updateData","ShowDefaultVisual
FireBest GADataPlanetInteraction",,"
",,,,
gaDataPrintHostilesText,GADataAdjustOptions,HostileFleetNearbyAndAware,"SetEnabled mktRaidNonMarket false
SetEnabled gaData_get false","A nearby hostile fleet is tracking your movements, making a ground operation impossible.","
",,,,
gaDataNotEnoughSuppliesForDistraction,GADataAdjustOptions,$player.supplies < 10,"SetEnabled gaData_getAvoidCombat false
SetTooltip gaData_getAvoidCombat ""Requires 10 supplies. You have $player.supplies supplies.""
SetTooltipHighlights gaData_getAvoidCombat 10 $player.supplies
SetTooltipHighlightColors gaData_getAvoidCombat highlight bad",,"
",,,,
gaDataStandardPlanetInteraction,GADataPlanetInteraction,,"SetShortcut defaultLeave ""ESCAPE""
FireBest GADataAdjustOptions",A scan of the coordinates provided by Academician Sebestyen shows the location is long deserted. Your sensors officer tentatively identifies the $gaData_target on the readout. It appears to be in relatively good shape.,"
","gaData_get:Send a team down to retrieve the data
defaultLeave:Leave",,,
gaDataDecivInteractionRaid,GADataPlanetInteraction,$gaData_variation == DECIV score:1000,FireBest GADataRaidBegin,"A scan of the coordinates provided by Academician Sebestyen shows signs of human presence. There's evidence of recent handheld weapons fire and the use of small-scale explosives, though thankfully it appears the $gaData_target has escaped any serious damage.

Still, it looks like recovering the data will require some shooting.","
",,,,
gaDataDecivInteractionRaidOptions,GADataRaidBegin,,"ShowDefaultVisual
$raidDifficulty = $gaData_raidDifficulty
$raidGoBackTrigger = GADataRaidBegin
AddRaidObjective gaData ""Retrieve the data from the $gaData_target"" LOW 5000 GADataRaidFinished
SetShortcut defaultLeave ""ESCAPE""
SetStoryOption gaData_getAvoidCombat 1 gaData_avoidCombat general ""Created a distraction to retrieve data for the Galatia Academy without bloodshed""
FireAll GADataAdjustOptions",,"
","mktRaidNonMarket:Consider a ground operation to retrieve the data
gaData_getAvoidCombat:Drop 10 units of supplies at a nearby location to distract the locals
defaultLeave:Leave",,,
gaDataFinishedRaid,GADataRaidFinished,,"$global.gaData_gotData = true
Call $global.gaData_ref updateStage",Your marines provide security while a small salvage team accesses the $gaData_target and extracts the specified data cores.,"
",,,,
gaDataPlanetGetData,DialogOptionSelected,$option == gaData_get,"$global.gaData_gotData = true
Call $global.gaData_ref updateStage
FireAll PopulateOptions",You send down a small salvage team. They access the $gaData_target and extract the specified data cores without undue difficulty.,"
",,,,
gaDataPlanetGetDataDistraction,DialogOptionSelected,$option == gaData_getAvoidCombat,"AddRemoveCommodity supplies -10
$global.gaData_gotData = true
Call $global.gaData_ref updateStage
FireAll PopulateOptions","You order some cargo crates loaded with supplies and just enough solid-prop boosters to survive a landing. Once these are deployed and attracting a suitable amount of attention, a small salvage team accesses the $gaData_target and extracts the specified data cores.

The team has to leave quickly, but fortunately - aside from a few small-arms burns on the extraction shuttle - there's no harm done.","
",,,,
# pirate fleet interactions,,,,,"
",,,,
gaDataPirateFleetEncounter,BeginFleetEncounter,"$gaData_pirate score:1000
!$ignorePlayerCommRequests","$gaData_pirateConv = true 0
FleetDesc
AddText ""You're being hailed by the $faction $otherShipOrFleet."" $faction.baseColor
$hailing = true 0",,"
",,,,
gaDataPirateOpenComm,OpenCommLink,"$entity.gaData_pirateConv score:100
Call $global.gaData_ref updateData","$entity.ignorePlayerCommRequests = true
MakeOtherFleetImportant gaData false
FireBest GADataPirateConvStart","""Eyh there cap'n. Good work finding the target! We all admire your cleverness,"" $heOrShe turns over $hisOrHer shoulder to address $hisOrHer crew, ""Don�t we, ya vac-hogs?""

You hear, quietly, the pirate bridge crew giving a round of ""Aye!""s amid hooting and applause.","
",,,,
gaDataPirateConvBeforeGotData,GADataPirateConvStart,!$global.gaData_gotData,"$transmitNoun = ""these coordinates"" 0
SetStoryOption gaData_bluff 1 gaData_bluff general ""Bluffed pirates into giving you supplies and fuel""","The pirate leader turns back to the display. ""Now if you don't mind, we'll be takin' those coordinates from you and doing some of the good, honest work that the rich-man is paying us for.""","
","gaData_transmitCoords:Transmit the coordinates and let the pirates take the data
gaData_sellCoords:Offer to transmit the coordinates ... for a price
gaData_rejectOffer:Decline this invitation; power up combat systems
gaData_bluff:""The deal has changed. You're here to provide me with fuel and supplies.""",,,
gaDataPirateConvAfterGotData,GADataPirateConvStart,$global.gaData_gotData,"$transmitNoun = ""this data"" 0
SetStoryOption gaData_bluff 1 gaData_bluff general ""Bluffed pirates into giving you supplies and fuel""","The pirate leader turns back to the display. ""Now if you don�t mind, we'll be takin' a copy of that data from you back to the rich-man who's paying us. Transmit now, if you'd be so kind. Or do we gotta come over and cut the memory core from that fancy flagship you're flying?""","
","gaData_transmitData:Transmit the data; it's just a copy
gaData_sellData:Offer to transmit a copy of the data ... for a price
gaData_rejectOffer:Decline this invitation; power up combat systems
gaData_bluff:""The deal has changed. You�re here to provide me with fuel and supplies.""",,,
gaDataGiveCoordsSel,DialogOptionSelected,$option == gaData_transmitCoords,"$global.gaData_gaveCoordsToPirates = true
Call $global.gaData_ref updateStage
MakeOtherFleetNonHostile gaData true
MakeOtherFleetDoThing $gaData_planetId 2 ""retrieving data from the ruins"" true
MakeOtherFleetGoAway false","You signal your comms officer to transmit the coordinates. Some cache of data of interest to a bunch of academics isn�t worth this trouble.

""Transmission received, captain,"" says the pirate with a smile. ""It�s been a...""","
","cutCommLink:Close transmission
gaDataCutCommAngry:Hit the end transmission button somewhat harder than strictly necessary",,,
gaDataGiveCoordsSelAngry,DialogOptionSelected,$option == gaDataCutCommAngry,"$option = cutCommLink 0
FireBest DialogOptionSelected",,"
",,,,
gaDataGiveDataCopySel,DialogOptionSelected,$option == gaData_transmitData,"MakeOtherFleetNonHostile gaData true
MakeOtherFleetGoAway true","You signal your comms officer to transmit a copy of the data. It�s not like the Galatia Academy explicitly requested exclusivity, right? As long as this gets the pirates off your back so you can complete your mission, there's no harm done.

""Transmission received, captain,"" says the pirate with a smile. ""It�s been a pleasure...""

You hit the end transmission button a little harder than necessary before the pirate finishes speaking.","
",cutCommLink:Continue,,,
gaDataGiveDataNegotiate1,DialogOptionSelected,$option == gaData_sellData,"$option = gaData_sellCoords 0
FireBest DialogOptionSelected",,"
",,,,
gaDataGiveDataNegotiate2,DialogOptionSelected,$option == gaData_sellCoords,SetTextHighlights $gaData_piratePayment,"You explain to the pirate captain that some compensation is required. After all, you travelled all the way out here to provide them with $transmitNoun - good, honest work. $HeOrShe is obviously a practical $manOrWoman of business who knows how to negotiate a beneficial deal for all involved.

After some back and forth, threats and flattery, and not a few lies and boasts, the pirate captain proposes a 'fair compensation' of $gaData_piratePayment credits.","
","gaData_acceptOffer:Accept
gaData_rejectOffer:Decline, power up weapons",,,
gaDataGiveDataNegotiateAcceptData,DialogOptionSelected,"$option == gaData_acceptOffer
$global.gaData_gotData","AddCredits $gaData_piratePayment
MakeOtherFleetNonHostile gaData true
MakeOtherFleetGoAway true
EndConversation
ShowDefaultVisual","You cut the transmission, having betrayed the spirit of your agreement with the Academy. You consider whether or not to ignore the sinking feeling of guilt that's set up home in your stomach. Still, they'll be none the wiser, and you've got extra credits in your account.","
",,,,
gaDataGiveDataNegotiateAcceptCoords,DialogOptionSelected,"$option == gaData_acceptOffer
!$global.gaData_gotData","AddCredits $gaData_piratePayment
$global.gaData_gaveCoordsToPirates = true
Call $global.gaData_ref updateStage
MakeOtherFleetNonHostile gaData true
MakeOtherFleetDoThing $gaData_planetId 2 ""retrieving data from the ruins"" true
MakeOtherFleetGoAway false
EndConversation
ShowDefaultVisual","You cut the transmission, relieved at being able to salvage something out of the situation. Those academics should have warned you there was likely to be competition!","
",,,,
gaDataDeclinePirateOffer,DialogOptionSelected,$option == gaData_rejectOffer,"EndConversation
ShowDefaultVisual",You cut the transmission and order the bridge crew to prepare for an engagement. Your tactical officer reports the pirate ships are accelerating to attack speed.,"
",,,,
gaDataBluff,DialogOptionSelected,$option == gaData_bluff,,"You sigh impatiently and, with seeming embarrassment for the pirate captain's error, you say ""You weren't informed of the change in plans, were you.""

You explain that they were intended all along as a support force- more of a supply convoy, really- for your fleet which was to carry out the actual mission. It was all quite clear when you were meeting with the Tri-Tachyon executive in charge of the operation. There must have been some kind of slip-up in communication.","
",gaData_bluff1:Continue,,,
gaDataBluff1,DialogOptionSelected,$option == gaData_bluff1,"AddRemoveCommodity supplies 100
AddRemoveCommodity fuel 200
MakeOtherFleetNonHostile gaData true
MakeOtherFleetGoAway true","The pirate captain stumbles on $hisOrHer words, confused by the confidence of your bluff. You remind $himOrHer that while Tri-Tachyon pays excellent bonuses for work performed to specifications, they have been known to take rather extreme punitive measures against those who break contracts and endanger important investments.

You stick to your story, creating believable details on the fly, and manage to take $himOrHer in completely.

""I, yes, ... you!,"" the pirate captain gestures angrily at some underling, ""Get the fuel and supplies transferred NOW."" $HeOrShe turns back to the display, sulking ""Please, just don�t tell the boss about this.""","
","cutCommLink:""I won't, I promise.""",,,
,,,,,"
",,,,
# retrieve artifact from derelict mission,,,,,"
",,,,
gaDABlurb,gaDA_blurb,,,"""The $gaDA_department department has requested retrieval of an object of scientific interest from a derelict ship near $gaDA_starName.""","
",,,,
gaDAOfferOption,gaDA_option,,,,"
",gaDA_start:Ask about the scientific object retrieval mission,,,
gaDAMissionTextBasic,DialogOptionSelected,"$option == gaDA_start
$gaDA_notRemnants","$missionId = gaDA
SetTextHighlights $gaDA_dist $gaDA_reward
$aseb_givePlayerNeutrinoDetector = true 0","""So the $gaDA_department department needs you to pop on over to the $gaDA_systemName, that�s $gaDA_dist light-years away, to retrieve, um,"" $heOrShe squints at a datapad, ""'$gaDA_widget' from a derelict. I guess it�s in the ship? Or maybe the cargo? It says here they have a pretty good idea of exactly where it is in the hull volume, anyway. This should be simple, right?""

$HeOrShe pauses briefly. ""Oh, right, the payment! Once you return the $gaDA_widgetNoArticle to the Academy, the finance office will pay you $gaDA_reward credits.""","
","aseb_accept:Accept
aseb_decline:Decline",,,
gaDAMissionTextRemnants,DialogOptionSelected,"$option == gaDA_start
!$gaDA_notRemnants","$missionId = gaDA
SetTextHighlights $gaDA_dist $gaDA_fuel","Academician Sebestyen's eyes go wide as $heOrShe reads over the datapad, then $heOrShe quickly looks back to you. 

He or she puts on a bright smile. ""This will be simple, they know exactly where to find the, um,"" $heOrShe looks back to the datapad, brow creased, ""'$gaDA_widgetNoArticle' in the target�s hull. Just send a salvage crew, get the thing, and off you go! And that�s in the $gaDA_systemName, just $gaDA_dist light-years, there and back with,� a few taps on a different datapad, ""around $gaDA_fuel units of fuel for your fleet."" The academician shifts uncomfortably, as if $heOrShe doesn�t want to deliver bad news.","
","gaDA_and:""And?""",,,
gaDAMissionTextRemnants2,DialogOptionSelected,$option == gaDA_and,"SetTextHighlights $gaDA_reward
$aseb_givePlayerNeutrinoDetector = true 0","""And. Well, the last expedition they sent. Um. The last transmission said something about 'hostile AI warships'. Maybe."" $HeOrShe drops $hisOrHer voice, ""We're not supposed to talk about it. Officially, I mean. But it could be ... maybe dangerous? That�s why this one pays more than usual - $gaDA_reward credits. You can handle it, right?"" Academician $personLastName resumes $hisOrHer previous volume ""- And everything will be fine! Just get in, retrieve the object, and return it to the Academy.""","
","aseb_accept:Accept
aseb_decline:Decline",,,
gaDAMissionReturn,PickGreeting,"$gaDA_returnHere score:1000
Call $global.gaDA_ref updateData
FireBest ASEBMissionReturn","ShowPersonVisual
$global.gaDA_returnedWidget = true
Call $global.gaDA_ref updateStage","""Oh, you found that thing the $gaDA_department department was so worried about, um- '$gaDA_widget', of course."" $HeOrShe rolls $hisOrHer eyes, ""You wouldn't believe how bothersome they've been about it. This is wonderful, I'll get your payment transferred immediately.""
OR
Academician $personLastName glances between the datapads he's holding in each hand.

""Captain, you have no idea how worried the $gaDA_department department was about this whatever-it-is,"" $heOrShe considers for a moment, ""'$gaDA_widget'. They'll be absolutely delighted when I let them know you found it. First though, I'll let the finance office know to release your payment."" ","
",contact_pickAnotherGreeting:Continue,,,
# derelict interactions,,,,,"
",,,,
gaDADerelictHostilesNear,OpenInteractionDialog,"$gaDA_entity score:1000
HostileFleetNearbyAndAware","ShowDefaultVisual
SetShortcut defaultLeave ESCAPE","Your $shipOrFleet makes a pass by the derelict, allowing your sensors officer to give it a cursory scan. Identity of target is verified positive, but with hostiles nearby and you can't safely run a deep scan or dispatch salvage teams to investigate and find $gaDA_widget.","
",100:defaultLeave:Leave,,,
gaDADerelictInteractions,OpenInteractionDialog,"$gaDA_entity score:1000
!HostileFleetNearbyAndAware
Call $global.gaDA_ref updateData","ShowDefaultVisual
FireBest GADADerelictInteraction",,"
",,,,
gaDADerelictBasic1,GADADerelictInteraction,$gaDA_variation == BASIC,"$global.gaDA_gotWidget = true
Call $global.gaDA_ref updateStage","Your $shipOrFleet advances to intercept the derelict. Your sensors officer runs a full-spectrum active scan, noting outgassing and signs of residual heat. This is a fresh hulk, as derelicts go. You order telemetry logged to the mission report file for the Academy; they love extra data, and it'll prove you've done the job.

Your operations chief oversees the dispatch of salvage teams as they perform a clean, efficient breach and survey of the hulk. The mission target is missing from its position in the experiment team's project spec, but a young, green spacer follows signs of elevated radiation and soon discovers the $gaDA_widgetNoArticle in a secondary lab space.

The chief meets your eyes and gives a gruff nod. Success. The target is packaged and extracted in record time; all that remains is to return it to the Galatia Academy.","
",gaDA_continueBasic:Leave,,,
gaDADerelictBasic2,GADADerelictInteraction,$gaDA_variation == BASIC,"$global.gaDA_gotWidget = true
Call $global.gaDA_ref updateStage","Your $shipOrFleet advances to intercept the derelict. Your sensors officer runs a deep active-scan, noting rad-hot volumes and structure damage. This is a fresh, warm hulk, as derelicts go. Your ops chief sees the look you are about to give and orders the salvage teams to bring extra work-drones for the hot sectors.

You follow the sweep of salvage teams through the hulk, flicking through display feeds of dead passageways clouded by ghostly debris. The mission target is exactly where it was supposed to be, but you suspect the glaze of carbon-silica on the facing wall was not an intended byproduct of the experiment. The $gaDA_widgetNoArticle appears to be largely intact.

Your ops chief personally oversees packaging and extraction of the target. All that remains is to return it to the Galatia Academy.","
",gaDA_continueBasic:Leave,,,
gaDADerelictContBasic,DialogOptionSelected,$option == gaDA_continueBasic,"#FireBest OpenInteractionDialog
DismissDialog",,"
",,,,
gaDADerelictPiratesTookItStart,GADADerelictInteraction,$gaDA_variation == PIRATES,,"As you approach the derelict your sensors officer points out signs that you're not the first to visit. Outgassing and debris around the target�s hull match the profile of a recent salvage operation.

""More like a smash and grab,"" growls your ops chief. Whoever got here first was not a professional judging by the slipshod breaching cuts and tangle of discarded equipment.

You send out a salvage team, and they perform a sweep with cautious efficiency. Your mission target is missing, but they do find something unexpected: a leaky suit crudely bolted to a bulkhead, occupant unconscious. The victim of some punishment, evidently. They�re cut free then placed in a quarantined bulkhead while a medic attempts to revive them.","
",gaDA_continuePirates:Continue,,,
gaDADerelictContPirates,DialogOptionSelected,$option == gaDA_continuePirates,"$global.gaDA_piratesTookIt = true
Call $global.gaDA_ref updateStage","The victim is thankful and eager to talk- and definitely a pirate. You watch through a holofeed as a story comes out about being left behind due to a perceived transgression which, ""-the others got talking and decided just 'cause they didn't like me much that I was the one to blame. I didn't do a thing to deserve it!""

All of your questions are answered at the cost of only breathable air, a hot meal, and a bulb of spirits.

It becomes clear that these pirates knew something special was on the derelict and came here looking for it. They were also been caching supplies nearby, so it's likely they'll head there before trying to sell their treasure. If your fleet travels at high speed, you might just catch the pirates before they get away.","
",gaDA_continuePirates2:Continue,,,
gaDADerelictContPirates2,DialogOptionSelected,$option == gaDA_continuePirates2,,"All that remains is what is to be done with the unfortunate pirate who seem grateful and claims to have been wronged, but is any pirate out here really innocent? Could they be a security risk?","
","gaDA_returnPirate:Pirates can't be trusted. Return them to the leaky ship.
gaDA_takePirateIn:Give them a chance to prove themselves. (+1 crew)",,,
gaDADerelictReturnPirate,DialogOptionSelected,$option == gaDA_returnPirate,"#DespawnEntity
DismissDialog",,"
",,,,
gaDADerelictTakeInPirate,DialogOptionSelected,$option == gaDA_takePirateIn,AddCommodity crew 1,,"
",gaDA_returnPirateCont:Leave,,,
gaDADerelictTakeInPirateCont,DialogOptionSelected,$option == gaDA_returnPirateCont,"#DespawnEntity
DismissDialog",,"
",,,,
gaDADerelictScavengerStart,GADADerelictInteraction,$gaDA_variation == SCAVENGER,,"You approach the derelict. Your sensors officer quickly points out signs that you're not the first to have found it: Outgassing and debris around the target�s hull match the profile of a recent salvage operation. ""... And they were professionals,"" growls your ops chief with more than a hint of respect. Whoever got here first made efficient breaching cuts at key access points, leaving only a neat net of lines secured to borer-pitons favoured by deep-space salvage rats.

You send out a salvage team knowing what they'll find, and they perform their sweep with cautious efficiency. Your mission target is missing; you order the team's telemetry and holo feeds to be attached to the mission file as proof that you performed this job for the Academy to the best of your ability.","
",gaDA_continueScav:Continue,,,
gaDADerelictScavengerCont,DialogOptionSelected,$option == gaDA_continueScav,"$global.gaDA_scavengerTookIt = true
Call $global.gaDA_ref updateStage","""Captain."" Your operations chief calls attention to an active screen displaying the residual heat around the breaching cuts. ""They're still hot. We might be able to catch the scavengers who made these cuts.""

Your mind races, putting a plan together. If you burn fast toward the closest jump-point - their logical destination, possibly after spending more time in-system - you might just catch the scavengers before they jump for hyperspace. Perhaps they can be persuaded to give up the piece you're looking for.","
",gaDA_scavLeave:Leave,,,
gaDADerelictScavengerLeave,DialogOptionSelected,$option == gaDA_scavLeave,"#DespawnEntity
DismissDialog",,"
",,,,
gaDADerelictRemnantStart,GADADerelictInteraction,$gaDA_variation == REMNANTS,"$global.gaDA_gotWidget = true
Call $global.gaDA_ref updateStage","The bridge crew is muted; you sense an edge in the atmosphere. They fear the alien power of the Remnants of the First AI War. You'll want to pull off this operation quickly, before you set off some half-functioning threat algorithm in unseen watchers.

Your operations chief dispatches salvage teams. They perform an efficient breach and survey of the hulk. Battle damage and agrav failure has made a riotous mess of the internal volumes, but your experienced crews have dealt with this situation on countless occasions. They spread out, setting temporary cargo nets to contain and sort the slowly drifting clouds of salvage. Using search parameters based on the specs provided by the Galatia Academy experiment team, the $gaDA_widgetNoArticle is located and secured.

The chief notes the mission time elapsed and gives gruff words of approval over the salvage comms. The teams return, nervous but in good spirits, with their treasure in tow. You need not linger in this place.","
",gaDA_continueBasic:Leave,,,
,,,,,"
",,,,
# conversation with pirates,,,,,"
",,,,
gaDAFleetWithWidgetDefeated,gaDAFleetWithWidgetDefeated,"$someShipsDestroyed
!$global.gaDA_gotWidget","$global.gaDA_gotWidget = true
Call $global.gaDA_ref updateStage",Your sensors officer reports that an ejected cargo pod floating in a spray of post-battle debris contains something that matches the mission target specifications. A salvage team quickly secures the object in your hold.,"
",,,,
gaDAPirateEncounter,BeginFleetEncounter,"$gaDA_pirate score:1000
!$gaDA_encounteredAlready
Call $global.gaDA_ref updateData","$gaDA_encounteredAlready = true
FleetDesc
HailPlayer",,"
",,,,
gaDAPirateOpenComm,OpenCommLink,"$entity.gaDA_pirate score:1000
!$entity.ignorePlayerCommRequests
Call $global.gaDA_ref updateData","$entity.ignorePlayerCommRequests = true
SetStoryOption gaDA_kantaSentMe 1 gaDA_kantaSentMe general ""Pretended to know Kanta to retrieve $gaDA_widget from pirates""","The comms open and before you stands the pirate leader. ""What do you want, scavenger?"" $heOrShe says with contempt.

""This is our cache and if you know what's best you'll be burning along to find some shiny bits out elsewhere to grub at.""","
","gaDA_offerToBuy:Offer to buy what they found in the derelict
gaDA_threaten:Threaten to attack if they don't surrender the mission target
gaDA_kantaSentMe:""Kanta sent me. She wants her prize.""",,,
gaDAPirateOfferToBuy,DialogOptionSelected,$option == gaDA_offerToBuy,"SetTextHighlights $gaDA_piratePayment
$gaDA_piratePrice = $gaDA_piratePayment 0
DoCanAffordCheck $gaDA_piratePrice gaDA_buyAgree false","You explain to the pirate captain that you know exactly what they've found, and it's only really useful to a bunch of bookish academics. Despite being useless dirt-worms, they'll give good credits for certain pieces of garbage that you find in a long-standing arrangement. If the Pirates sell it to you now it'll save them a long trip to the core worlds. And having to deal with the most condescending fools in the entire Sector.

$HeOrShe considers your words, then says ""You make some good points, captain. I do hate it when worthless mud-boots try to talk down to me. And,"" $heOrShe gives you a fierce look, ""I don't need another mass murder charge on my bounty just for some piece of junk."" 

After some additional implied threats and a bit of negotiation on your part,  the pirate captain offers to sell you what they found for $gaDA_piratePayment credits.","
","gaDA_buyAgree:Agree to their price
gaDA_buyDecline:Decline, it�s simply not worth it
gaDA_buyDeclineAggro:""I've decided to take it from you by force.""",,,
gaDAPirateBuyConfirm,DialogOptionSelected,$option == gaDA_buyAgree,"RemoveCommodity credits $gaDA_piratePrice
$global.gaDA_gotWidget = true
Call $global.gaDA_ref updateStage
MakeOtherFleetNonHostile gaDA true
EndConversation
ShowDefaultVisual",,"
",,,,
gaDAPirateBuyDeclinePolite,DialogOptionSelected,$option == gaDA_buyDecline,"MakeOtherFleetNonHostile gaDA true
EndConversation
ShowDefaultVisual","You cut the comm link after explaining to the pirate captain that you wouldn't make enough on the deal to cover your expenses. The rapport you've established during the negotiation seems to incline $himOrHer to let you go, at least for the moment.","
",,,,
gaDADeclineBuyAggro,DialogOptionSelected,$option == gaDA_buyDeclineAggro,,"""Oh, I see how it is,"" the pirate captain snarls, raising a gauntleted fist. ""If you were going to make me kill you anyway, why'd you waste precious atmo with all that chum talk?""

The comms snap to static; you speculate that you don't hear that fist slam on the pirate's console because the link cut out just before the shock reverberated to the pickups. Yes, that explains it. You turn to find that your tactical officer has just finished sending a combat alert to the $shipOrFleet.","
",cutCommLinkNoText:Continue,,,
gaDADeclineBuyAggroStronger,DialogOptionSelected,"$option == gaDA_buyDeclineAggro
$entity.relativeStrength < 0","SetTextHighlights $gaDA_piratePaymentLow
$gaDA_piratePrice = $gaDA_piratePaymentLow 0
DoCanAffordCheck $gaDA_piratePrice gaDA_buyAgree false","The pirate captain cries out in a panic, $hisOrHer contemptuous airs dispelled in a moment. ""Wait! We�re just doing business here, I can compromise!"" $HeOrShe sweats, visibly calculating for a moment, ""How about $gaDA_piratePaymentLow credits for this piece of junk? Be reasonable, captain, we can make this work for both of us.""","
","gaDA_buyAgree:Accept the new price
cutCommLink:Decline. Snap comms off and power up battle-systems.",,,
gaDAThreatenToAttack,DialogOptionSelected,"$option == gaDA_threaten
$entity.relativeStrength < 0",$gaDA_piratePrice = 0 0,"The pirate captain laughs heartily, but you detect just a note of panic underlying the bravado. ""Oh, well done. I thought we were the pirates here, but no it is you. I admire you, captain.""

A pause for drama, ""And I admire your powerful fleet even more. Some of my comrades-of-the-void,"" $heOrShe looks around, appearing to address $hisOrHer crew, ""would consider surrendering our loot a cowardly act. But I'll be the coward who lives every time over a fight I know I can't win. Unless we have any volunteers who would like to suit up and take them on? No?""

With this, $heOrShe smiles then strikes a bow as the comms close. A moment later your tactical officer reports that a cargo drone has been dispatched from the pirate fleet.","
",gaDA_buyAgree:Collect the mission target,,,
gaDAThreatenToAttackFail,DialogOptionSelected,$option == gaDA_threaten,,"The pirate captain laughs heartily with unfeigned bravado. ""Oh, well done. I thought we were the pirates here, but no, I think it must be you. I admire your spirit, captain."" A pause for drama, ""May it haunt the stars only briefly.""

$HeOrShe executes a half spin, raises $hisOrHer arm like a conductor, and brings it down. The connection terminates.

Your tactical officer reports, ""Hostiles closing, sir.""","
",cutCommLinkNoText:Continue,,,
gaDAKantaSentMe,DialogOptionSelected,$option == gaDA_kantaSentMe,$player.kantaBluffs++,"The blood drains from the pirate captain's face. ""She ... did? But she said ... all was forgiven. She said it was balanced out, she said I made it up to her."" $HeOrShe seems really worried. Better lay it on.","
","gaDA_kanta1:""Kanta never forgets. But if she hasn't killed you yet...""
gaDA_kanta2:""I could tell her I killed you. Change your name. Change your face. Stay far away.""",,,
